,u2_1
621,-0.01623747240614859
622,-0.00030326840305656413
623,0.023662965641774947
624,0.018662477282062686
625,-0.026360534317697616
626,-0.0005839789076520883
627,0.005617484381547341
628,-0.005983005368581637
629,-0.019457281755400485
630,-0.019831608484910848
631,0.017693947859038335
632,0.009993936631054216
633,-0.020600206040514074
634,-0.028172822007787465
635,-0.020301191931159746
636,0.0013487681969620404
637,-0.024145694593003045
638,-0.023695107039911314
639,-0.010513201275213855
640,-0.024529844648304336
641,-2.346351088441393e-07
642,-0.022752681736471218
643,0.018085222926797914
644,-0.0011009334589769
645,-0.0006137887029467741
646,0.0
647,-0.019523690587872254
648,-0.009593094864107744
649,-0.016735246170839463
650,-0.012938424624781552
651,0.002111711143246671
652,-0.0215641299569159
653,-0.01890689328665228
654,-0.01959397130336311
655,-0.02091490070494747
656,-0.013958609065765628
657,-3.352277567254006e-05
658,-0.02525670084679016
659,-0.021917266394628834
660,-0.01799836871586869
661,-0.006565407570918608
662,0.004050287592861722
663,-0.012969353137550852
664,-0.02436833950618327
665,-0.02196533451362748
666,-0.023945446444552352
667,-0.017097207753612006
668,-0.015940279528082846
669,0.01075684705069718
670,-0.003558388855907528
671,-0.0008477162737338601
672,0.01615636935999699
673,-0.013435996441700153
674,0.0013231982937698722
675,-0.019837999356189996
676,0.02738433841845576
677,-0.01735831870507182
678,0.028637605474367014
679,-0.01814737816484101
680,-0.020949387595967765
681,-0.015581698207140731
682,0.03108202807624898
683,-0.019135098566853543
684,-0.00508275720343174
685,-0.012969624826392315
686,0.0
687,-0.022739738324471754
688,-0.0047291799805991765
689,-0.021004886971579716
690,-0.00018574816308265167
691,0.017504039244299826
692,-0.008206251168715158
693,0.02632165917419048
694,-0.01638662088051678
695,-0.022846189230296902
696,0.006968316021011644
697,-0.026002442347314705
698,-0.018312115186846105
699,-0.023466515858536728
700,-0.015504870676492434
701,-0.023211016274814058
702,-0.007268506317606121
703,-0.01244790116108704
704,-0.016625179634615926
705,-0.01117020615265533
706,-0.007898957558804888
707,-0.01836854535056699
708,-0.0022996339958082776
709,-0.008530595910798033
710,-0.01325723246027815
711,0.00027697956893726146
712,-0.018387525074444806
713,-0.0010013922051232073
714,-0.013093337241394899
715,-0.006137327617790343
716,-0.02113691189973621
717,-0.0015582705163275155
718,-0.02142717605934494
719,0.008842111247681366
720,-0.02148782529999113
721,-0.009895535136250598
722,-0.019330892547076164
723,0.0009041696600463207
724,0.0002176928861929142
725,-0.025700962778582834
726,-0.020958381684754702
727,0.02095944127722692
728,-0.017428972317220133
729,0.014578914212979155
730,0.004329525604789234
731,-0.018217915909186432
732,0.027831934716103773
733,-0.014010647674880436
734,0.011960965633438476
735,-0.02558660519363142
736,0.0
737,-0.006097961796165922
738,-0.026264271661069753
739,-0.008350460804915858
740,0.0
741,-0.0014430106810047903
742,0.03782095667017561
743,-0.006613057954555546
744,0.04583708021299246
745,-0.021083809402890494
746,-0.023524915227898173
747,-0.004927672283317504
748,-0.019245449322566437
749,-0.0018485477994470698
750,-0.02319838014708103
751,0.006562456092625847
752,-0.009073011995712749
753,-0.007592440621446995
754,-0.0025706129289768914
755,-0.01457853409930829
756,-0.01644552821448741
757,-0.018837783113418473
758,-0.008721921947816194
759,-0.026087940420466284
760,-0.019363823804174944
761,-0.00923358794731406
762,-0.016029969824507873
763,-0.01596015256569731
764,-0.0026454193787989804
765,-0.00903753161354136
766,-0.01174385740840049
767,-0.0192883323509394
768,-0.024506707168327
769,-0.025828652582299615
770,-0.024908386836366977
771,-0.024345214665947402
772,-0.02001882726119374
773,-0.019200564432332038
774,-0.015743925352008113
775,-0.022314268690440422
776,-0.02313489597580746
777,-0.01976057589971176
778,-0.025015596547928492
779,-0.023167898582015928
780,-4.980251193755115e-06
781,-0.023057032841717725
782,-0.005957601109313995
783,0.0
784,0.0038119018763154732
785,-0.010143728854749134
786,-0.010851351787416195
