"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.234007001619746,0,0.0596611325422149,0.203732663197894,0.878766115775815,0,0,-0.0733705100519985,0,-0.0444370313790617,0.0915372307373468,0.134824484598925,0,0,-0.0796845779190824,0.142254471373345,0,0,0,-0.1739776523176,0.0718071904115499,-0.00646933138012423,-0.0776090661127722,0.0262531766839853,0.124142852507449,-0.0413559414339111,0,-0.0871417603299439,0.0234444221473246,0
0.15530240434698,0.135785460173672,-0.506531957411713,-0.0979377436392121,0,0,-0.407662740060611,0,0.0108549964059052,0,-0.33142624981729,0,0,-0.258953618648113,0,0.287541539639293,-0.0638932606920528,-0.294863134766155,-0.0407407583809334,-0.225156060553627,0,-0.198366466912455,0,0,-0.197959943941086,0.189673101379565,-0.0394520647811927,0,0,-0.0770610784822887
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.448725574452433,0,0,0.779026593629242,0,0.130839438651593,0,0,0,0.0892728534844513,0,0,0,-0.395479647570603,0,0,0,0,0.101341859723732,0,0
0.480051207488989,0.137014894713695,-0.343652856220305,0.152480170381796,0,0,0.498033738673152,-0.169207629370132,-0.00652732018263583,-0.0891244907672233,0,0,0,-0.294653290336377,-0.121527080588422,0,0,0,0.178649977169932,0.00256886201114516,0.194459010914108,-0.124971404181709,0,0.0528948923367527,0.212938229412392,-0.0746796919111466,0.262581561942427,0,0,-0.123146271429805
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.63159428746692,-0.1306030302806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111560404212424,0,0,0,0,0,0,0,0,-0.75603292304809,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0964119761961916,0,0,-0.917214587097262,0,0.0288761757232186,0.0873876019138482,0,-0.0644331488980901,-0.0277952867916051,-0.130254483607033,0,-0.000504677739055002,0,-0.0696207124804098,0,0,0.118134517999648,-0.22486138413627,0.0653057078575346,0,0.103349945404018,-0.0497119812544408,-0.125752574747842,0.0228708055606174,0,0.12625666758693,0.000839055022059431,0,0
0,-0.858882637055961,0.0675368915613781,0.0291726379207362,0.231967105519612,-0.209229963122995,0,-0.0347045798217999,0.0544513407127942,0.0555221257691142,-0.0482358345006641,0.136289141811543,0.00950582036642016,-0.0753599784919611,-0.0585159889913764,-0.0970724557418567,0.00104507048286498,-0.0758000552754031,0,0.183901904759059,-0.164078151307566,0.0274155589508981,0,-0.0904813935794378,-0.111434777659361,0.0797625417187095,0.00523418785845972,0.0253999975252039,0.129843271332322,-0.0285285231866101
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.0653936832000238,0,0.125364480008873,0,0,0,0.918062907989664,-0.0128226478683792,0,0.0418590592199323,0,0,-0.0477668629739151,0,0,-0.183918047338567,-0.228278290223911,0,0,0.0201477385667709,0,0,0.124995678733737,0,0,-0.176076571388281,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538132945202698,0.306502016351428,0,0,0,0,0,0,0,0,0,0.785155683453912,0,0,0,0
0,-0.918391557309492,0,0,0.0073111548881794,0,0.0196841535440313,0.196339086012251,0.0241429026153492,0,0,0,0.0857070293155079,0.0668232982779008,0,0,0.0245889002617348,0,-0.114017067788917,0,0,0,0,0,0,0.133147173516183,0,0.251406339558085,0,0.103127304424423
0.397135209159796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917760113344225,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
