,Methods,Scenario,n,type,Values,std
136,DGCCA,Nonlinear,80,Precision,0.24133333333333332,0.11422395156494591
137,DGCCA,Nonlinear,80,Recall,0.023506581168206604,0.011037770529977793
138,DGCCA,Nonlinear,80,FS,0.04283580099454421,0.020122153797157753
139,DGCCA,Nonlinear,80,MCC,-0.2145742542744231,0.05947111300683455
140,KSSHIBA,Nonlinear,80,Specificity,0.9159507621936277,0.0031034719862717847
141,KSSHIBA,Nonlinear,80,Precision,0.3213333333333333,0.027292652653944958
142,KSSHIBA,Nonlinear,80,Recall,0.040531265113100706,0.0033273996616636605
143,KSSHIBA,Nonlinear,80,FS,0.07198244578253962,0.005929649859152011
144,KSSHIBA,Nonlinear,80,MCC,-0.08988253320524695,0.01325516422415692
145,SNGCCA,Nonlinear,80,Specificity,0.9873986648565772,0.008247187939505468
146,SNGCCA,Nonlinear,80,Precision,0.8086666666666666,0.12566445621398104
147,SNGCCA,Nonlinear,80,Recall,0.9560731395797185,0.12006420461946338
148,SNGCCA,Nonlinear,80,FS,0.8715329429271391,0.11339905107026252
149,SNGCCA,Nonlinear,80,MCC,0.8697328515534909,0.11733174164579845
150,RGCCA,Linear,100,Specificity,1.0,0.0
151,RGCCA,Linear,100,Precision,1.0,0.0
152,RGCCA,Linear,100,Recall,0.11141941697005324,0.007062182445268209
153,RGCCA,Linear,100,FS,0.20042672854153573,0.011424404553156072
154,RGCCA,Linear,100,MCC,0.2538446939003285,0.014659100990936437
155,SGCCA,Linear,100,Specificity,0.9999397590361445,0.0005993900223533819
156,SGCCA,Linear,100,Precision,0.9993333333333334,0.006633249580710799
157,SGCCA,Linear,100,Recall,0.102887772666197,0.006560340106514902
158,SGCCA,Linear,100,FS,0.18650194249325647,0.01079467118348927
159,SGCCA,Linear,100,MCC,0.23533385582809338,0.014840005503919392
160,DGCCA,Linear,100,Specificity,0.937292700903035,0.021253284691198256
161,DGCCA,Linear,100,Precision,0.5366666666666666,0.1564537560360178
