,Methods,Scenario,n,type,Values,std
95,SNGCCA,Nonlinear,200,Specificity,0.9923933533312279,0.006833540630290662
96,SNGCCA,Nonlinear,200,Precision,0.8546666666666668,0.13008715027498555
97,SNGCCA,Nonlinear,200,Recall,0.9537971042649034,0.1331267058308817
98,SNGCCA,Nonlinear,200,FS,0.8971069269516474,0.12449766124947047
99,SNGCCA,Nonlinear,200,MCC,0.8957380673706095,0.12835036432545904
100,RGCCA,Linear,400,Specificity,1.0,0.0
101,RGCCA,Linear,400,Precision,1.0,0.0
102,RGCCA,Linear,400,Recall,0.28127964064408184,0.03137864651962605
103,RGCCA,Linear,400,FS,0.43812964178111563,0.03802670995018873
104,RGCCA,Linear,400,MCC,0.49227998247462174,0.033356740913136555
105,SGCCA,Linear,400,Specificity,1.0,0.0
106,SGCCA,Linear,400,Precision,1.0,0.0
107,SGCCA,Linear,400,Recall,0.20096107006869193,0.03947325354628336
108,SGCCA,Linear,400,FS,0.33315113576889194,0.046411011265952
109,SGCCA,Linear,400,MCC,0.39641164919858846,0.04200230857520379
110,DGCCA,Linear,400,Specificity,0.955832159492171,0.015828395027977945
111,DGCCA,Linear,400,Precision,0.6653333333333333,0.1229200282026218
112,DGCCA,Linear,400,Recall,0.05343565990698695,0.009490360922520414
113,DGCCA,Linear,400,FS,0.09891669117175322,0.017594964492208154
114,DGCCA,Linear,400,MCC,0.020520278728298015,0.056102511150836414
115,KSSHIBA,Linear,400,Specificity,0.9494949494949496,1.1102230246251565e-16
116,KSSHIBA,Linear,400,Precision,0.6666666666666669,2.220446049250313e-16
117,KSSHIBA,Linear,400,Recall,0.04975124378109453,0.0
118,KSSHIBA,Linear,400,FS,0.09259259259259262,1.3877787807814457e-17
119,KSSHIBA,Linear,400,MCC,-0.0016263258817130546,4.336808689942018e-19
120,SNGCCA,Linear,400,Specificity,0.9993546407777635,0.0027089790070850724
121,SNGCCA,Linear,400,Precision,0.9880000000000001,0.05022615520489963
122,SNGCCA,Linear,400,Recall,0.8996271823527274,0.13015860318523428
123,SNGCCA,Linear,400,FS,0.9379606371884159,0.09099164114415448
124,SNGCCA,Linear,400,MCC,0.9374338408522265,0.09213367652307096
125,RGCCA,Nonlinear,400,Specificity,0.9504876412780271,0.01607568481985289
126,RGCCA,Nonlinear,400,Precision,0.6253333333333333,0.12464349160706306
127,RGCCA,Nonlinear,400,Recall,0.050258026795498366,0.009798381863326034
128,RGCCA,Nonlinear,400,FS,0.09302900131397042,0.01814253425851578
129,RGCCA,Nonlinear,400,MCC,0.001625407593110098,0.05748837025845868
130,SGCCA,Nonlinear,400,Specificity,0.9467122476618877,0.015409094134289161
131,SGCCA,Nonlinear,400,Precision,0.6,0.116619037896906
132,SGCCA,Nonlinear,400,Recall,0.048061495655910676,0.00923119006293735
133,SGCCA,Nonlinear,400,FS,0.08898574180786957,0.01708392817532799
134,SGCCA,Nonlinear,400,MCC,-0.0115690607919328,0.054607881367771366
135,DGCCA,Nonlinear,400,Specificity,0.8807062687390748,0.009296299085047127
136,DGCCA,Nonlinear,400,Precision,0.04466666666666666,0.05501918857190745
137,DGCCA,Nonlinear,400,Recall,0.0037322399256087984,0.004582051959379547
138,DGCCA,Nonlinear,400,FS,0.006888241318755349,0.008457910470230376
139,DGCCA,Nonlinear,400,MCC,-0.2595470316770705,0.028270830789334837
140,KSSHIBA,Nonlinear,400,Specificity,0.9493050505050508,0.0013292929292929383
141,KSSHIBA,Nonlinear,400,Precision,0.6653333333333334,0.009333333333333332
142,KSSHIBA,Nonlinear,400,Recall,0.04965621890547265,0.0006651741293532342
143,KSSHIBA,Nonlinear,400,FS,0.09241515934539192,0.0012420327304048248
144,KSSHIBA,Nonlinear,400,MCC,-0.0022426850486018442,0.004314514168221522
145,SNGCCA,Nonlinear,400,Specificity,0.9915326882848653,0.005981068297589169
146,SNGCCA,Nonlinear,400,Precision,0.8373333333333332,0.11559315627569731
147,SNGCCA,Nonlinear,400,Recall,0.9815888278388277,0.06434341347492968
148,SNGCCA,Nonlinear,400,FS,0.9001232235537745,0.08571707357387327
149,SNGCCA,Nonlinear,400,MCC,0.9005344273584851,0.0850295527340362
